"date" "AAPL" "YHOO" "ORCL" "MSFT"
"2016-05-24" 97.900002 37.529999 39.900002 51.59
"2016-05-25" 99.620003 35.59 40.130001 52.119999
"2016-05-26" 100.410004 36.759998 39.950001 51.889999
"2016-05-27" 100.349998 37.82 40.07 52.32
"2016-05-31" 99.860001 37.939999 40.200001 53
"2016-06-01" 98.459999 36.650002 40.259998 52.849998
"2016-06-02" 97.720001 37.150002 38.66 52.48
"2016-06-03" 97.919998 36.599998 39.099998 51.790001
"2016-06-06" 98.629997 37.07 39.439999 52.130001
"2016-06-07" 99.029999 36.73 39.130001 52.099998
"2016-06-08" 98.940002 36.970001 39.279999 52.040001
"2016-06-09" 99.650002 37.349998 39.049999 51.619999
"2016-06-10" 98.830002 36.830002 38.740002 51.48
"2016-06-13" 97.339996 36.470001 38.619999 50.139999
"2016-06-14" 97.459999 37.400002 38.830002 49.830002
"2016-06-15" 97.139999 37.32 38.439999 49.689999
"2016-06-16" 97.550003 37.389999 38.639999 50.389999
"2016-06-17" 95.330002 36.939999 39.68 50.130001
"2016-06-20" 95.099998 37.290001 39.73 50.07
"2016-06-21" 95.910004 37.400002 39.990002 51.189999
"2016-06-22" 95.550003 37.360001 40.009998 50.990002
"2016-06-23" 96.099998 37.779999 40.830002 51.91
"2016-06-24" 93.400002 36.240002 39.23 49.830002
"2016-06-27" 92.040001 35.220001 38.48 48.43
"2016-06-28" 93.589996 36.040001 39.130001 49.439999
"2016-06-29" 94.400002 36.860001 40.549999 50.540001
"2016-06-30" 95.599998 37.560001 40.93 51.169998
"2016-07-01" 95.889999 37.990002 40.860001 51.16
"2016-07-05" 94.989998 37.5 40.400002 51.169998
"2016-07-06" 95.529999 37.509998 40.529999 51.380001
"2016-07-07" 95.940002 37.52 40.529999 51.380001
"2016-07-08" 96.68 37.740002 40.869999 52.299999
"2016-07-11" 96.980003 37.959999 40.779999 52.59
"2016-07-12" 97.419998 37.889999 41.419998 53.209999
"2016-07-13" 96.870003 37.639999 41.459999 53.509998
"2016-07-14" 98.790001 37.959999 41.669998 53.740002
"2016-07-15" 98.779999 37.720001 41.77 53.700001
"2016-07-18" 99.830002 37.950001 41.639999 53.959999
"2016-07-19" 99.870003 38.169998 41.080002 53.09
"2016-07-20" 99.959999 38.900002 41.25 55.91
"2016-07-21" 99.43 38.849998 41.07 55.799999
"2016-07-22" 98.660004 39.380001 41.080002 56.57
"2016-07-25" 97.339996 38.32 41.16 56.73
"2016-07-26" 96.669998 38.759998 40.939999 56.759998
"2016-07-27" 102.949997 38.66 40.93 56.189999
"2016-07-28" 104.339996 38.52 41.189999 56.209999
"2016-07-29" 104.209999 38.189999 41.040001 56.68
"2016-08-01" 106.050003 38.799999 41.150002 56.580002
"2016-08-02" 104.480003 38.57 40.709999 56.580002
"2016-08-03" 105.790001 38.389999 40.709999 56.970001
"2016-08-04" 105.870003 38.919998 40.900002 57.389999
"2016-08-05" 107.480003 38.990002 41.130001 57.959999
"2016-08-08" 108.370003 39.240002 41.16 58.060001
"2016-08-09" 108.809998 39.240002 41.099998 58.200001
"2016-08-10" 108 39.93 41.09 58.02
"2016-08-11" 107.93 41.27 41.279999 58.299999
"2016-08-12" 108.18 42.939999 41.09 57.939999
"2016-08-15" 109.480003 42.669998 41.389999 58.119999
"2016-08-16" 109.379997 42.490002 41.32 57.439999
"2016-08-17" 109.220001 42.700001 41.209999 57.560001
"2016-08-18" 109.080002 42.900002 41.139999 57.599998
"2016-08-19" 109.360001 43.02 41.32 57.619999
"2016-08-22" 108.510002 42.52 41.220001 57.669998
"2016-08-23" 108.849998 42.599998 41.5 57.889999
"2016-08-24" 108.029999 41.91 41.07 57.950001
"2016-08-25" 107.57 42.029999 41.099998 58.169998
"2016-08-26" 106.940002 42.27 41.259998 58.029999
"2016-08-29" 106.82 42.259998 41.310001 58.099998
